feature_set,features,solver,C,accuracy,weighted_f1,stress_f1,precision_1,recall_1,roc_auc,tn,fp,fn,tp,subject_acc_mean,subject_acc_std,subject_f1_mean,subject_f1_std,subject_auc_mean,subject_auc_std
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",liblinear,0.1,0.7613412228796844,0.7724880870796206,0.6032786885245902,0.5183098591549296,0.7215686274509804,0.8267948022423726,588,171,71,184,0.7570951999425881,0.09396481002225159,0.5742527395973152,0.22133348806002937,0.8282304650879272,0.11388877065692754
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",lbfgs,10.0,0.752465483234714,0.7654789841036278,0.6022187004754358,0.5053191489361702,0.7450980392156863,0.824387093440802,573,186,65,190,0.7510759909959125,0.09123976679748233,0.5753583208459921,0.21380711000693764,0.8216915558686263,0.1097445392345011
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",lbfgs,10.0,0.752465483234714,0.7654789841036278,0.6022187004754358,0.5053191489361702,0.7450980392156863,0.824387093440802,573,186,65,190,0.7510759909959125,0.09123976679748233,0.5753583208459921,0.21380711000693764,0.8216915558686263,0.1097445392345011
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",lbfgs,10.0,0.752465483234714,0.7654789841036278,0.6022187004754358,0.5053191489361702,0.7450980392156863,0.824387093440802,573,186,65,190,0.7510759909959125,0.09123976679748233,0.5753583208459921,0.21380711000693764,0.8216915558686263,0.1097445392345011
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",liblinear,10.0,0.752465483234714,0.7654789841036278,0.6022187004754358,0.5053191489361702,0.7450980392156863,0.8243870934408017,573,186,65,190,0.7510759909959125,0.09123976679748233,0.5753583208459921,0.21380711000693764,0.8214229330530699,0.1103401740934893
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",liblinear,10.0,0.752465483234714,0.7654789841036278,0.6022187004754358,0.5053191489361702,0.7450980392156863,0.8243870934408017,573,186,65,190,0.7510759909959125,0.09123976679748233,0.5753583208459921,0.21380711000693764,0.8214229330530699,0.1103401740934893
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",liblinear,10.0,0.752465483234714,0.7654789841036278,0.6022187004754358,0.5053191489361702,0.7450980392156863,0.8243870934408017,573,186,65,190,0.7510759909959125,0.09123976679748233,0.5753583208459921,0.21380711000693764,0.8214229330530699,0.1103401740934893
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",lbfgs,0.1,0.76232741617357,0.7730541060843927,0.6016528925619835,0.52,0.7137254901960784,0.8265777984448062,591,168,73,182,0.7581230639867564,0.09601629154842951,0.5717783841982008,0.22819423512919676,0.8282304650879272,0.11388877065692754
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",lbfgs,0.1,0.76232741617357,0.7730541060843927,0.6016528925619835,0.52,0.7137254901960784,0.8265777984448062,591,168,73,182,0.7581230639867564,0.09601629154842951,0.5717783841982008,0.22819423512919676,0.8282304650879272,0.11388877065692754
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",lbfgs,0.1,0.76232741617357,0.7730541060843927,0.6016528925619835,0.52,0.7137254901960784,0.8265777984448062,591,168,73,182,0.7581230639867564,0.09601629154842951,0.5717783841982008,0.22819423512919676,0.8282304650879272,0.11388877065692754
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",lbfgs,1.0,0.7583826429980276,0.7700312246027523,0.6016260162601627,0.5138888888888888,0.7254901960784313,0.8275284817484307,584,175,70,185,0.7541926699153376,0.08768842702572494,0.5741299326488984,0.21084173647127333,0.8273345125804978,0.11234809801146275
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",liblinear,1.0,0.757396449704142,0.7691635832025896,0.6006493506493507,0.5124653739612188,0.7254901960784313,0.8275181482342607,583,176,70,185,0.7533593365820044,0.08650982329054528,0.5730198493926543,0.2097064693510993,0.8272510749501265,0.11240933565545447
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",liblinear,0.01,0.747534516765286,0.7612358978540305,0.5987460815047022,0.49869451697127937,0.7490196078431373,0.8297915213516236,567,192,64,191,0.7447568175435225,0.09295929794354771,0.5721846732711879,0.21850103063110332,0.8317525127335625,0.11442651855340488
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",liblinear,0.01,0.747534516765286,0.7612358978540305,0.5987460815047022,0.49869451697127937,0.7490196078431373,0.8297915213516236,567,192,64,191,0.7447568175435225,0.09295929794354771,0.5721846732711879,0.21850103063110332,0.8317525127335625,0.11442651855340488
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",liblinear,0.01,0.747534516765286,0.7612358978540305,0.5987460815047022,0.49869451697127937,0.7490196078431373,0.8297915213516236,567,192,64,191,0.7447568175435225,0.09295929794354771,0.5721846732711879,0.21850103063110332,0.8317525127335625,0.11442651855340488
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",lbfgs,10.0,0.7465483234714004,0.7602436905491867,0.5965463108320251,0.4973821989528796,0.7450980392156863,0.8239840863881784,567,192,65,190,0.7453285269025718,0.08057645663099848,0.5678380878380879,0.20413257451658198,0.8244667394264357,0.1035279706695824
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",liblinear,10.0,0.7465483234714004,0.7602436905491867,0.5965463108320251,0.4973821989528796,0.7450980392156863,0.823947919088584,567,192,65,190,0.7453285269025718,0.08057645663099848,0.5678380878380879,0.20413257451658198,0.8245172884900565,0.1037061606331912
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",lbfgs,0.1,0.7564102564102564,0.7678620723110882,0.5957446808510638,0.5112359550561798,0.7137254901960784,0.8270893073962128,585,174,73,182,0.7519894153204398,0.0920475993306905,0.56462022734443,0.22259539898991829,0.8267064077642389,0.11716366291451309
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",lbfgs,0.01,0.7593688362919132,0.7698332587472858,0.5933333333333334,0.5159420289855072,0.6980392156862745,0.8260249554367202,592,167,77,178,0.755222029017913,0.103188921231221,0.5586727468734813,0.24747214907469672,0.8276241695940659,0.11865455541413643
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",liblinear,0.1,0.7514792899408284,0.7636768773628608,0.5922330097087378,0.5041322314049587,0.7176470588235294,0.8272029760520808,579,180,72,183,0.747377311389114,0.0929100717250474,0.5631759079173507,0.22054344100955423,0.8266287718224933,0.11717819263701107
robust7_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MeanHR_z, motion_z",liblinear,0.01,0.7416173570019724,0.7558761232377337,0.5919003115264797,0.4909560723514212,0.7450980392156863,0.8266294660156552,562,197,65,190,0.7386099857600389,0.09158261600806504,0.558367781608929,0.22678447006711983,0.8276704135674023,0.11824979854035027
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",liblinear,0.1,0.7485207100591716,0.7612145510963475,0.5906902086677368,0.5,0.7215686274509804,0.8183161538660259,575,184,71,184,0.7456586292470214,0.09721231670354358,0.5652871637207662,0.22719268500504186,0.8197169669900404,0.1233274616625654
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",lbfgs,0.1,0.7495069033530573,0.7619431785646116,0.5903225806451613,0.5013698630136987,0.7176470588235294,0.8181663179105634,577,182,72,183,0.7464781599578565,0.0998617807832937,0.5658655428342543,0.22844608560721635,0.8199081518578678,0.1229926803961379
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",liblinear,1.0,0.7495069033530573,0.7619431785646116,0.5903225806451613,0.5013698630136987,0.7176470588235294,0.8179234803275724,577,182,72,183,0.7467307598483875,0.09921479529251588,0.566189656823513,0.2277739702658519,0.819038768046328,0.12303721993053937
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",lbfgs,1.0,0.7485207100591716,0.7609350655335021,0.5880452342487884,0.5,0.7137254901960784,0.8179131468134025,577,182,73,182,0.7458649589825866,0.09993647278663031,0.5640921511545788,0.22867080701311493,0.819038768046328,0.12303721993053937
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",liblinear,10.0,0.7465483234714004,0.7589151216974919,0.5834683954619124,0.4972375690607735,0.7058823529411765,0.8179234803275724,577,182,75,180,0.743870911363539,0.09882955553139434,0.5597019072521398,0.22649696691435006,0.8191324160212211,0.12271014285757674
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",lbfgs,10.0,0.7465483234714004,0.7589151216974919,0.5834683954619124,0.4972375690607735,0.7058823529411765,0.8179234803275724,577,182,75,180,0.743870911363539,0.09882955553139434,0.5597019072521398,0.22649696691435006,0.8191921531777325,0.12277523753438009
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",liblinear,0.01,0.7297830374753451,0.7454754797409965,0.5823170731707317,0.4763092269326683,0.7490196078431373,0.8153556020563695,549,210,64,191,0.7289016931039308,0.08652071748349653,0.5617190700489645,0.18860310290881088,0.8184761858473932,0.1235153958089115
base4_z,"MeanNN_z, SDNN_z, RMSSD_z, motion_z",lbfgs,0.01,0.7406311637080868,0.75358050344323,0.5764895330112721,0.4890710382513661,0.7019607843137254,0.8146529230928208,572,187,76,179,0.7376209835966858,0.10104919199538742,0.5414237373470093,0.2493012165335213,0.8182783310656643,0.12350065939228048
